"Categorization Tree at: Jan 6, 2016 9:25:01 AM",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Category 1,Category 2,Category 3,Category 4,Description,Keywords,And Words,And(2) Words,Not Words,Verbatim Keywords,Verbatim And Words,Verbatim And(2) Words,Verbatim Not Words,Parent Doc Keywords,Parent Doc And Words,Parent Doc And(2) Words,Parent Doc Not Words,Other Verbatim Keywords,Other Verbatim And Words,Other Verbatim And(2) Words,Other Verbatim Not Words,Other Verbatim Type
,,,,,,,,,,,,,,,,,,,,,
Basic Emotions-Simplified,,,,,,,,,,,,,,,,,,,,,
,New Emotions,,,,,,,,,,,,,,,,,,,,
,,Anger,,,,,,,,,,,,,,,,,,,
,,,Anger,,"furious, angry, enraged, infuriated, irate, livid, ""pissed off""~1, ""fed up"", ""sick and tired"", outraged, ""worked up"", ""out of patience"", mad, incensed, fuming, angered, peeved, indignant, miffed, horrified, appalled, aghast, exasperated, dismayed, apoplectic, agitated, aggravated, vex, vexed, vexing, bullshit, ""bent out of shape"", ""get worked up"", ""got worked up"", ""go off the deep end"", ""see red"", ""seeing red"", ""saw red"", ""black mood""",,,,,,,,,,,,,,,,
,,,Annoyance,,"annoy, annoys, annoying, annoyed, irksome, irks, irk, ""cheesed off"", ""hot under the collar"", ""thorn side""~2",,,,,,,,,,,,,,,,
,,,Contempt,,"contempt, disdain, contemptuous, distain, contempts",,,,,,,,,,,,,,,,
,,,Disgust,,"disgusted, repuls*, revolting, irked, irritated, annoyed, ""skin crawl"", ""skin crawling""",,,,,,,,,,,,,,,,
,,,Irritation,,"irritate, irritates, irritating, irritated, irritant, irritation, exasperate, ""ticked off"", ""strike a nerve"", ""struck a nerve"", ""pull hair out""~2, ""bent out of shape"", _LC:[STRIKE, NERVE]",,,,,,,,,,,,,,,,
,,,Hatred,,"hatred, hostility, bigotry, animosity, resentment, loathing, detestation",,,,,,,,,,,,,,,,
,,Fear,,,,,,,,,,,,,,,,,,,
,,,Anxiety,,"anxiety, nervousness, anxieties, angst, uneasiness, anxiousness, unease, apprehension, paranoia, stress, panicked, panicky, panic, anxious, nervous,",,,"""stress fracture""",,,,,,,,,,,,,
,,,Embarrassment,,"embarr*, embarassing, embarassed, humiliating, embarassment, embarrased, embarrasment, humiliated, embarass, shame, shameful, humilating, ashamed, humilated, humiliation, humiliate, mortified, embarasses, mortifying, embarrassments, ""turned red"", ""turning red"", blushed, _LC:[feel, stupid], _LC:[feel, dumb], _LC:[look, stupid], _LC:[look, dumb], ""would not be caught dead"", ""would not be seen dead"", ""ears burn"", ""foot in mouth""~2, ""tongue tied"", ""ground swallow""~2",,,,,,,,,,,,,,,,
,,,Fear,,"scared, afraid, terrified, fearful, frightened, uneasy, claustrophobic, threatened, wary, apprehensive, petrified, skittish, ""freaked out"", ""heebie-jeebies"", ""hair stand on end"", ""hair stood on end"", ""shiver down spine""~3",,,,,,,,,,,,,,,,
,,,Helplessness,,"helpless, powerless, defenseless, helplessly, hopeless, helplessness",,,,,,,,,,,,,,,,
,,,Powerlessness,,"powerless, ""ill equipped"", ""rendered impotent"", incapable, powerlessness, unempowered, disempowered, subservient, enslaved",,,,,,,,,,,,,,,,
,,,Worry,,"skeptical, hesitant, ""worry that"", shaky, restless, worry, worried, worrying, worries, concerned, ""beside myself"", ""beside herself"", ""beside himself"", ""beside themselves""",,,,,,,,,,,,,,,,
,,Frustration,,,,,,,,,,,,,,,,,,,
,,,Doubt,,"doubt, doubts, doubting, doubted, question*, hesitation, qualms, skepticism, unsure, skeptical, misgivings, unconvinced",,,"""no question"", ""no questions"", ""no doubt"", ""without a doubt""",,,,,,,,,,,,,
,,,Envy,,"envy, envious, jealous, jealousy, envied, envying, enviously, envies, covetous, covet, jealously",,,,,,,,,,,,,,,,
,,,Frustrated,,"frustra*, impatience, impatient, ""at wits end""~2",,,,,,,,,,,,,,,,
,,,Guilt,,"guilt*, remors*",,,,,,,,,,,,,,,,
,,,Shame,,"shame, asham*, shameful",,,,,,,,,,,,,,,,
,,,Dissatisfied,,"dissatisfied, unsatisfied, unhappy, disenchanted, disillusioned, displeased, unimpressed, dissatisfaction",,,,,,,,,,,,,,,,
,,Sadness,,,,,,,,,,,,,,,,,,,
,,,Boredom,,"bored, boredom, tedium, monotony, boring, monotonous, jaded",,,,,,,,,,,,,,,,
,,,Despair,,"despair, hopelessness, anguish, dispair,",,,,,,,,,,,,,,,,
,,,Disappointment,,"disappoint*, dissapointing, dissapointed, disheartened, disappoints, disapointing, disappoinment, disheartening",,,,,,,,,,,,,,,,
,,,Hurt,,"hurt, hurting, hurts, injure, stung",,,,,,,,,,,,,,,,
,,,Sadness,,"sad, sadness, sorrow, saddened, saddening, heartbreaking, heartbroken, grief, ""reduced to tears"", heartstrings, ""down in the dumps"", _LC:[FEEL, BLUE]",,,,,,,,,,,,,,,,
,,Discomfort,,,,,,,,,,,,,,,,,,,
,,,Stress,,"stressed, stressing, stresses, LC: [TEAR, HAIR]",,,,,,,,,,,,,,,,
,,,Shock,,"shocked, stunned, startled, alarmed, ""a shock"", ""taken aback"", blindsided, ""blind sided"", ""blind-sided"", disbelief, ""dumb founded"", ""dumb-founded"", ""off guard"", offguard, floored, dumbfounded, shocking",,,,,,,,,,,,,,,,
,,,Tension,,"tension, tense, tensions, friction, tensed, frictions, tenseness, tensest, discord",,,,,,,,,,,,,,,,
,,,Discomfort,,"discomfort*, uncomfortab*, awkward, uneasy, awkwardness, bothersome, queasy, ""fish out of water""",,,,,,,,,,,,,,,,
,,,Hesitation,,,,,,,,,,,,,,,,,,
,,Joy,,,,,,,,,,,,,,,,,,,
,,,Amusement,,"amusement, amused, amuse, amuses, amusing, hilarious, silly, funny, gleeful, humorous,",,,,,,,,,,,,,,,,
,,,Delight,,"delight*, ""over the moon""",,,delights,,,,,,,,,,,,,
,,,Elation,,"elate*, elation, ecstatic, euphoric, giddy, exultation, exultant, ""on top of the world""",,,,,,,,,,,,,,,,
,,,Excitement,,"excit*, thrill*, exhilarating, psyched, enthused, ""adrenaline rush"", ""tickled pink""",,,,,,,,,,,,,,,,
,,,Happiness,,"happy, glad, happier, happiest",,,,,,,,,,,,,,,,
,,,Joy,,"""of joy"", ""my joy"", ""such joy"", joyful, joyous, joyousness, exuberant, jubilant, celebratory, joyously, uplifting, joyfully, rejoic*",,,"""almond joy""",,,,,,,,,,,,,
,,,Pleasure,,"pleased, pleasing, pleasure",,,,,,,,,,,,,,,,
,,Love,,,,,,,,,,,,,,,,,,,
,,,Affection,,"affection, adoration, admiration, fondness, affections, affectionate, ""think the world of"", _LC:[TAKE, FANCY]",,,,,,,,,,,,,,,,
,,,Empathy,,"empath*, compassion*, sympath*, solidarity",,,,,,,,,,,,,,,,
,,,Love,,"love, loved, adore, loves, loving, affection, adores, adored, beloved, dotes, smitten, fond, admire, endearing, fondness, cherishes, doted, idolized, ""head over heels""",,,,,,,,,,,,,,,,
,,,Appreciation,,"appreciated, appreciate, appreciates, appreciative, appreciating, appreciation, admired, lauded, grateful, commended, applauded, gratitude, ""thank my lucky stars"", ""mean the world""",,,,,,,,,,,,,,,,
,,Satisfaction (?),,,,,,,,,,,,,,,,,,,
,,,Hope,,"hope, hopeful, hoping, hopes, optimistic, hopefully, hoped, ""fingers crossed""",,,,,,,,,,,,,,,,
,,,Pride,,"pride, prideful, proud*",,,,,,,,,,,,,,,,
,,,Satisfied,,"satisfied, satisified, satisifed, satisfying, satisfaction",,,,,,,,,,,,,,,,
,,,Trust,,"trust, trusting, faithful, trusted, trustworthy, loyal, loyalty, trustful",,,"""loyalty points""",,,,,,,,,,,,,
,,Serenity,,,,,,,,,,,,,,,,,,,
,,,Calmness,,"calm, peaceful, calmer, tranquil, tranquility, calmness, calming, serene, peacful, calmed, placid, serenity",,,,,,,,,,,,,,,,
,,,Contentment,,"""is content"", ""was content"", ""are content"", ""am content"", contentment, contentedness, contented",,,,,,,,,,,,,,,,
,,,Relaxation,,"relax*, destress*, unstress*,",,,,,,,,,,,,,,,,
,,,Relief,,"""what a relief"", relieved, phew, consoled, pacified, placated, reassured, soothed",,,"""not relieved"", ""not consoled"", ""not pacified"", ""not placated""",,,,,,,,,,,,,
,,,Serenity,,"serene, serenity, tranquil*, quietude, peaceful*, stillness, bucolic",,,,,,,,,,,,,,,,
,,Reaction (?),,,,,,,,,,,,,,,,,,,
,,,Interest,,"interested, intrigu*, curious, piqued,",,,,,,,,,,,,,,,,
,,,Surprise,,"surpris*, suprise, suprising, surpise, ""jaw dropper""",,,,,,,,,,,,,,,,
,,,Anticipation,,"anticipat*, ""looking forward"", eager, ""eagerly waiting"", ""eagerly awaiting"", ""looked forward"", ""I anticipated"", ""we anticipated"", ""can not wait"", ""can hardly wait"", ""could hardley wait"", ""cant wait"", psyched, ""pumped for"", ""can barely wait"", ""long awaited"", ""counting the days"", ""counting the time"", ""counting days"", ""counting time"", ""counting the minutes"", ""counting minutes"", ""counting the seconds"", ""counting seconds"", ""looking forward to"", ""can not hardly wait"", ""can not barely wait"",",,,,,,,,,,,,,,,,
